SET_SIZE, EXP_CONF, CONF, SUPPORT, LIFT, COUNT, RULE, _LHAND, _RHAND, ITEM1, ITEM2, ITEM3, ITEM4, ITEM5, index, Transpose
2,78.65,91.54,61.97,1.16,1364, No ==> Male, No, Male, No, =====>, Male, , ,97,0
2,67.7,78.8,61.97,1.16,1364, Male ==> No, Male, No, Male, =====>, No, , ,98,1
3,65.33,76.05,30.58,1.16,673, crew ==> No & Adult, crew, No & Adult, crew, =====>, No, Adult, ,99,0
3,40.21,46.8,30.58,1.16,673, No & Adult ==> crew, No & Adult, crew, No, Adult, =====>, crew, ,100,0
4,65.33,75.88,17.58,1.16,387, third & Male ==> No & Adult, third & Male, No & Adult, third, Male, =====>, No, Adult,101,0
4,23.17,26.91,17.58,1.16,387, No & Adult ==> third & Male, No & Adult, third & Male, No, Adult, =====>, third, Male,102,0
3,9.63,11.09,8.72,1.15,192, Male ==> crew & Yes, Male, crew & Yes, Male, =====>, crew, Yes, ,103,0
3,78.65,90.57,8.72,1.15,192, crew & Yes ==> Male, crew & Yes, Male, crew, Yes, =====>, Male, ,104,0
4,9.63,11.09,8.72,1.15,192, Male ==> crew & Yes & Adult, Male, crew & Yes & Adult, Male, =====>, crew, Yes, Adult,105,0
4,78.65,90.57,8.72,1.15,192, crew & Yes & Adult ==> Male, crew & Yes & Adult, Male, crew, Yes, Adult, =====>, Male,106,0
3,39.16,44.97,30.44,1.15,670, No ==> crew & Male, No, crew & Male, No, =====>, crew, Male, ,107,0
3,67.7,77.73,30.44,1.15,670, crew & Male ==> No, crew & Male, No, crew, Male, =====>, No, ,108,1
4,39.16,44.97,30.44,1.15,670, No ==> crew & Male & Adult, No, crew & Male & Adult, No, =====>, crew, Male, Adult,109,0
4,67.7,77.73,30.44,1.15,670, crew & Male & Adult ==> No, crew & Male & Adult, No, crew, Male, Adult, =====>, No,110,1
2,67.7,76.05,30.58,1.12,673, crew ==> No, crew, No, crew, =====>, No, , ,111,1
2,40.21,45.17,30.58,1.12,673, No ==> crew, No, crew, No, =====>, crew, , ,112,0
3,40.21,45.17,30.58,1.12,673, No ==> crew & Adult, No, crew & Adult, No, =====>, crew, Adult, ,113,0
3,67.7,76.05,30.58,1.12,673, crew & Adult ==> No, crew & Adult, No, crew, Adult, =====>, No, ,114,1
3,28.49,31.95,21.63,1.12,476, No ==> third & Adult, No, third & Adult, No, =====>, third, Adult, ,115,0
3,67.7,75.92,21.63,1.12,476, third & Adult ==> No, third & Adult, No, third, Adult, =====>, No, ,116,1
2,67.7,74.79,23.99,1.1,528, third ==> No, third, No, third, =====>, No, , ,117,1
2,32.08,35.44,23.99,1.1,528, No ==> third, No, third, No, =====>, third, , ,118,0
